parent,child,question,answer
مباني قائمة,توفير جودة المياه-مباني قائمة,كيف يمكن توفير المياه أثناء عملية الغسيل؟,بالاعتماد على البرنامج الموفر للبيئة (ECO) والذي غالباً يرافقه شكل ورقة شجر. تستهلك هذه التصاميم أقل من 100 لتر لكل حمولة بينما تستهلك التصاميم القديمة 150 لتر لكل حمولة.
مباني قائمة,توفير جودة المياه-مباني قائمة,كيف يمكنني تقليل فاتورة المياه الخاصة بي؟,"1. 	استخدام المغاسل ذات المجسات وذات كفاءة عالية تساعد في تقليل استهلاك المياه بنسبة 20% مما ينعكس على فاتورة المياه.
<br>
2. 	إعادة استخدام المياه العادمة المعالجة في الري المنزلي أو الزراعة أو التنظيف يمكنها المساهمة في تقليل فاتورة المياه. "
مباني قائمة,توفير جودة المياه-مباني قائمة,كيف يمكنني تقليل فاتورة المياه الخاصة بي؟,"1. 	استخدام المغاسل ذات المجسات وذات كفاءة عالية تساعد في تقليل استهلاك المياه بنسبة 20% مما ينعكس على فاتورة المياه.
<br>
2. 	إعادة استخدام المياه العادمة المعالجة في الري المنزلي أو الزراعة أو التنظيف يمكنها المساهمة في تقليل فاتورة المياه. "
مباني قائمة,توفير جودة المياه-مباني قائمة,كيف يمكن حل مشكلة تجمع مياه الأمطار في الشتاء؟,تحدث المشكلة أساساً بسبب عدم وجود نظام تصريف صحيح لمياه الأمطار والتي غالباً تنشأ بسبب وجود المباني في الطبيعة. يمكن حلها من خلال تجميع مياه الأمطار عن أسطح المباني وإعادة استخدامها. يمكن تجميعها بشكل مركزي لكل مدينة أو تجميعها في كل مبنى بشكل منفصل.
مباني قائمة,توفير جودة المياه-مباني قائمة,كيف يمكن حل مشكلة تجمع مياه الأمطار في الشتاء؟,تحدث المشكلة أساساً بسبب عدم وجود نظام تصريف صحيح لمياه الأمطار والتي غالباً تنشأ بسبب وجود المباني في الطبيعة. يمكن حلها من خلال تجميع مياه الأمطار عن أسطح المباني وإعادة استخدامها. يمكن تجميعها بشكل مركزي لكل مدينة أو تجميعها في كل مبنى بشكل منفصل.
مباني قائمة,توفير جودة المياه-مباني قائمة,هل تلاحظ تلف الحنفيات أو الأنابيب أو تركيبات المياه الأخرى بسرعة؟,تحدث المشكلة أساساً بسبب عدم وجود نظام تصريف صحيح لمياه الأمطار والتي غالباً تنشأ بسبب وجود المباني في الطبيعة. يمكن حلها من خلال تجميع مياه الأمطار عن أسطح المباني وإعادة استخدامها. يمكن تجميعها بشكل مركزي لكل مدينة أو تجميعها في كل مبنى بشكل منفصل.
مباني قائمة,توفير جودة المياه-مباني قائمة,هل تلاحظ تلف الحنفيات أو الأنابيب أو تركيبات المياه الأخرى بسرعة؟,"قد يعود السبب لوجود ضغط ماء عالي في نظام المياه في المبنى بوجود مضخة لزيادة ضغط المياه (خاصة للطوابق العليا في المباني). يمكن حل هذه المشكلة من خلال استخدام صمام يساعد على تخفيف الضغط (لأقل من 550 كيلو باسكال) أو استخدام حنفيات ذات كفاءة مياه عالية (تعمل على تحسين ضغط المياه بدون زيادة التدفق)
"
مباني قائمة,توفير جودة المياه-مباني قائمة,هل تلاحظ تلف الحنفيات أو الأنابيب أو تركيبات المياه الأخرى بسرعة؟,"قد يعود السبب لوجود ضغط ماء عالي في نظام المياه في المبنى بوجود مضخة لزيادة ضغط المياه (خاصة للطوابق العليا في المباني). يمكن حل هذه المشكلة من خلال استخدام صمام يساعد على تخفيف الضغط (لأقل من 550 كيلو باسكال) أو استخدام حنفيات ذات كفاءة مياه عالية (تعمل على تحسين ضغط المياه بدون زيادة التدفق)
"
مباني قائمة,توفير جودة المياه-مباني قائمة,هل من المجدي استخدام سخانات فورية أم سخانات شمسية للمياه؟,"يعتمد على حالة الاستخدام، حيث تعتبر السخانات الفورية أكثر جدوى في مباني العمل (مكاتب مثلاً) التي لا تحتاج لكميات كبيرة من المياه الساخنة، مما يساعد في تقليل الوقت المستهلك لانتظار وصول المياه الساخنة للمستخدم وتقليل إهدار المياه. بينما تعتبر السخانات الشمسية مجدية في المنازل والأماكن التي يكثر بها استخدام المياه الساخنة. 
"
مباني قائمة,توفير جودة المياه-مباني قائمة,هل من المجدي استخدام سخانات فورية أم سخانات شمسية للمياه؟,"يعتمد على حالة الاستخدام، حيث تعتبر السخانات الفورية أكثر جدوى في مباني العمل (مكاتب مثلاً) التي لا تحتاج لكميات كبيرة من المياه الساخنة، مما يساعد في تقليل الوقت المستهلك لانتظار وصول المياه الساخنة للمستخدم وتقليل إهدار المياه. بينما تعتبر السخانات الشمسية مجدية في المنازل والأماكن التي يكثر بها استخدام المياه الساخنة. 
"
مباني قائمة,توفير جودة المياه-مباني قائمة,هل من المجدي استخدام سخانات فورية أم سخانات شمسية للمياه؟,"يعتمد على حالة الاستخدام، حيث تعتبر السخانات الفورية أكثر جدوى في مباني العمل (مكاتب مثلاً) التي لا تحتاج لكميات كبيرة من المياه الساخنة، مما يساعد في تقليل الوقت المستهلك لانتظار وصول المياه الساخنة للمستخدم وتقليل إهدار المياه. بينما تعتبر السخانات الشمسية مجدية في المنازل والأماكن التي يكثر بها استخدام المياه الساخنة. 
"
مباني قائمة,توفير جودة المياه-مباني قائمة,هل من المجدي استخدام سخانات فورية أم سخانات شمسية للمياه؟,"يعتمد على حالة الاستخدام، حيث تعتبر السخانات الفورية أكثر جدوى في مباني العمل (مكاتب مثلاً) التي لا تحتاج لكميات كبيرة من المياه الساخنة، مما يساعد في تقليل الوقت المستهلك لانتظار وصول المياه الساخنة للمستخدم وتقليل إهدار المياه. بينما تعتبر السخانات الشمسية مجدية في المنازل والأماكن التي يكثر بها استخدام المياه الساخنة. 
"
مباني قائمة,توفير جودة المياه-مباني قائمة, ,
مباني قائمة,توفير جودة المياه-مباني قائمة,كيف يمكنني توفير استهلاك المركبة (السيارة) للوقود؟,"هناك بعض الممارسات الخاطئة والتي تساعد في زيادة استهلاك الوقود في المركبات، يمكن اتباع النصائح التالية لتقليل الاستخدام:
1. 	إطفاء المحرك عند الانتظار لفترة تزيد عن دقيقتين.
2. 	القيادة بسرعة ثابتة
3. 	الصيانة الدورية للمركبة تساعد في تحسين كفاءة استهلاك الوقود بنسبة تصل إلى 10%.
4. 	التأكد من ضغط عجلات المركبة، حيث أن العجلات التي يقل ضغطها للربع تسبب زيادة بنسبة 2% من استهلاك الوقود.
5. 	الحفاظ على حمولة المركبة ضمن الحد الطبيعي، فكل 45 كيلوغرام من الحملة تسبب بزيادة الاستهلاك بنسبة 2%.
6. 	الاعتماد على التهوية الطبيعية للسيارة عند التحرك بسرعة تزيد عن 65 كيلومتر/ساعة.
7. 	الاستثمار بشراء سيارة هجينة – Hybrid (تعتمد على الوقود والكهرباء)
"
مباني قائمة,تحسين صحة الافراد-مباني قائمة,كيف يمكنني توفير استهلاك المركبة (السيارة) للوقود؟,"هناك بعض الممارسات الخاطئة والتي تساعد في زيادة استهلاك الوقود في المركبات، يمكن اتباع النصائح التالية لتقليل الاستخدام:
1. 	إطفاء المحرك عند الانتظار لفترة تزيد عن دقيقتين.
2. 	القيادة بسرعة ثابتة
3. 	الصيانة الدورية للمركبة تساعد في تحسين كفاءة استهلاك الوقود بنسبة تصل إلى 10%.
4. 	التأكد من ضغط عجلات المركبة، حيث أن العجلات التي يقل ضغطها للربع تسبب زيادة بنسبة 2% من استهلاك الوقود.
5. 	الحفاظ على حمولة المركبة ضمن الحد الطبيعي، فكل 45 كيلوغرام من الحملة تسبب بزيادة الاستهلاك بنسبة 2%.
6. 	الاعتماد على التهوية الطبيعية للسيارة عند التحرك بسرعة تزيد عن 65 كيلومتر/ساعة.
7. 	الاستثمار بشراء سيارة هجينة – Hybrid (تعتمد على الوقود والكهرباء)
"
مباني قائمة,تحسين صحة الافراد-مباني قائمة,ما الحل لمشكلة الغبار المفرطة في الموقع الناتجة عن الانشاء؟,ينصح بوضع استراتيجيات أو خطة لمنع التلوث خارج الموقع سواء بناء قائم أو جديد للحد من الغبار والرواسب بالإضافة الى أن اتخاذ هذه الخطوة يحافظ على السلامة العامة.
مباني قائمة,تحسين صحة الافراد-مباني قائمة,ما الحل لمشكلة الغبار المفرطة في الموقع الناتجة عن الانشاء؟,ينصح بوضع استراتيجيات أو خطة لمنع التلوث خارج الموقع سواء بناء قائم أو جديد للحد من الغبار والرواسب بالإضافة الى أن اتخاذ هذه الخطوة يحافظ على السلامة العامة.
مباني قائمة,تحسين صحة الافراد-مباني قائمة,كيف يمكن أن نقلل من التلوث حول المبنى وبنفس الوقت جعل التنقل الى الموقع أكثر استدامة؟,بالدرجة الأولى يفضل اختيار موقع قريب من خطوط المواصلات العامة خصوصاً إذا كانت طبيعة المشروع عام، وبالدرجة الثانية يمكن استخدام المركبات الصديقة للبيئة وتشجيع ركوب الدراجات الهوائية. 
مباني قائمة,تحسين صحة الافراد-مباني قائمة,كيف يمكن أن نقلل من التلوث حول المبنى وبنفس الوقت جعل التنقل الى الموقع أكثر استدامة؟,بالدرجة الأولى يفضل اختيار موقع قريب من خطوط المواصلات العامة خصوصاً إذا كانت طبيعة المشروع عام، وبالدرجة الثانية يمكن استخدام المركبات الصديقة للبيئة وتشجيع ركوب الدراجات الهوائية. 
مباني قائمة,تحسين صحة الافراد-مباني قائمة,أيهما أكثر استدامة: بناء جديد موفر للطاقة أم إعادة تأهيل مباني قائمة؟,"إعادة تأهيل المباني يقلل من استخدام الطاقة والنفايات المرتبطة بالهدم والبناء الجديد حسب ما أثبتت الدراسات
علما أن المبنى الجديد حتى لو كان موفر للطاقة، يحتاج من 10 إلى 80 عام لتعويض آثار تغير المناخ الناتجة عن بنائه.
"
مباني قائمة,تحسين صحة الافراد-مباني قائمة,أيهما أكثر استدامة: بناء جديد موفر للطاقة أم إعادة تأهيل مباني قائمة؟,"إعادة تأهيل المباني يقلل من استخدام الطاقة والنفايات المرتبطة بالهدم والبناء الجديد حسب ما أثبتت الدراسات
علما أن المبنى الجديد حتى لو كان موفر للطاقة، يحتاج من 10 إلى 80 عام لتعويض آثار تغير المناخ الناتجة عن بنائه.
"
مباني قائمة,تحسين صحة الافراد-مباني قائمة,أيهما أكثر استدامة: بناء جديد موفر للطاقة أم إعادة تأهيل مباني قائمة؟,"إعادة تأهيل المباني يقلل من استخدام الطاقة والنفايات المرتبطة بالهدم والبناء الجديد حسب ما أثبتت الدراسات
علما أن المبنى الجديد حتى لو كان موفر للطاقة، يحتاج من 10 إلى 80 عام لتعويض آثار تغير المناخ الناتجة عن بنائه.
"
مباني جديدة,توفير جودة المياة-مباني جديدة,أيهما أكثر استدامة: بناء جديد موفر للطاقة أم إعادة تأهيل مباني قائمة؟,"إعادة تأهيل المباني يقلل من استخدام الطاقة والنفايات المرتبطة بالهدم والبناء الجديد حسب ما أثبتت الدراسات
علما أن المبنى الجديد حتى لو كان موفر للطاقة، يحتاج من 10 إلى 80 عام لتعويض آثار تغير المناخ الناتجة عن بنائه.
"
مباني جديدة,توفير جودة المياة-مباني جديدة,ما فائدة استخدام مواد محلية ( فلسطينية) و\او إقليمية؟,".تشجيع المقاولين باختيار مواد محلية الصنع تقلل الآثار البيئية الناجمة عن نقل البضائع
   كما أن دعم المنتج المحلي يساعد على تطويره مستقبلياً والدفع باتجاه الاهتمام بالمعايير البيئية الخضراء.
"
مباني جديدة,توفير جودة المياة-مباني جديدة,ما فائدة استخدام مواد محلية ( فلسطينية) و\او إقليمية؟,".تشجيع المقاولين باختيار مواد محلية الصنع تقلل الآثار البيئية الناجمة عن نقل البضائع
   كما أن دعم المنتج المحلي يساعد على تطويره مستقبلياً والدفع باتجاه الاهتمام بالمعايير البيئية الخضراء.
"
مباني جديدة,توفير جودة المياة-مباني جديدة,كيف يمكن أن نجعل عملية اختيار المواد للبناء مستدامة؟, باختيار مواد ومنتجات التي تستخدم نسبة من المواد معادة الاستخدام خلال عملية تصنيع المنتج (recycled content)، بالإضافة إلى تشجيع المصانع على استخدام مواد معادة التدوير في عملية التصنيع لتقليل الطلب على المواد الخام وزيادة الطلب على فرز النفايات. 
مباني جديدة,توفير جودة المياة-مباني جديدة,كيف يمكن أن نجعل عملية اختيار المواد للبناء مستدامة؟, باختيار مواد ومنتجات التي تستخدم نسبة من المواد معادة الاستخدام خلال عملية تصنيع المنتج (recycled content)، بالإضافة إلى تشجيع المصانع على استخدام مواد معادة التدوير في عملية التصنيع لتقليل الطلب على المواد الخام وزيادة الطلب على فرز النفايات. 
مباني جديدة,توفير جودة المياة-مباني جديدة,ما سبب وجود مناطق ذات حرارة أعلى من غيرها خلال النهار خاصة في فصل الصيف؟,"ظاهرة الجزيرة الحرارية الحضرية ((Urban Heat Island هي ظاهرة ناتجة في الأماكن الحضرية نتيجة وجود أسطح مثل أسطح الاسفلت تعمل على امتصاص أشعة الشمس وإعادة اشعاعها لتشكل تجمع حراري ""جزيرة حرارية"" فتكون درجات الحرارة في هذه المناطق أعلى من الطبيعي. للتخفيف من هذه الظاهرة ينصح باستخدام مواد نفاذية وباللون الفاتح في أعمال الأرضيات حول المبنى وزيادة المساحات الخضراء أو على الأقل تصغير مساحات الاسفلت حول المبنى. "
مباني جديدة,تحسين صحة الافراد-مباني جديدة,ما سبب وجود مناطق ذات حرارة أعلى من غيرها خلال النهار خاصة في فصل الصيف؟,"ظاهرة الجزيرة الحرارية الحضرية ((Urban Heat Island هي ظاهرة ناتجة في الأماكن الحضرية نتيجة وجود أسطح مثل أسطح الاسفلت تعمل على امتصاص أشعة الشمس وإعادة اشعاعها لتشكل تجمع حراري ""جزيرة حرارية"" فتكون درجات الحرارة في هذه المناطق أعلى من الطبيعي. للتخفيف من هذه الظاهرة ينصح باستخدام مواد نفاذية وباللون الفاتح في أعمال الأرضيات حول المبنى وزيادة المساحات الخضراء أو على الأقل تصغير مساحات الاسفلت حول المبنى. "
مباني جديدة,تحسين صحة الافراد-مباني جديدة,"ما هي المرحلة التي يؤثر بها المبنى سلبياً على البيئة؟
","يكون للمباني تأثيرات بيئية محلية وإقليمية وعالمية في جميع مراحل حياة المبنى. يحدث بعضها أثناء استخراج وتصنيع ونقل المواد؛ وجزء آخر أثناء البناء والتشغيل؛ والجزء الأخير يحدث عند الهدم والتخلص من المباني ومخلفاتها.
"
مباني جديدة,تحسين صحة الافراد-مباني جديدة,"ما هي المرحلة التي يؤثر بها المبنى سلبياً على البيئة؟
","يكون للمباني تأثيرات بيئية محلية وإقليمية وعالمية في جميع مراحل حياة المبنى. يحدث بعضها أثناء استخراج وتصنيع ونقل المواد؛ وجزء آخر أثناء البناء والتشغيل؛ والجزء الأخير يحدث عند الهدم والتخلص من المباني ومخلفاتها.
"
