parent_tag_en,parent_tag_ar,child_tag_en,child_tag_ar,question_ar,question_en,answer_ar,answer_en
Existing buildings,مباني قائمة,Energy saving-existing buildings,توفير الطاقة-مباني قائمة,كيف أتأكد من فاعلية الأجهزة الكهربائية؟,How to check your appliances efficiency?,"إجراء فحص الجهوزية الكهربائية للتعرف على فاعليتها أثناء تجهيز المبنى، حيث يساهم في توفير التكلفة على مالك/مستخدم المبنى قبل إشغال المبنى (قبل السكن).
","Energy commissioning test can help you figure out your appliances’ efficiency during the equipping phase, which will reduce the cost on building owner/user even before building operation phase."
Existing buildings,مباني قائمة,Energy saving-existing buildings,توفير الطاقة-مباني قائمة,كيف أتأكد من فاعلية الأجهزة الكهربائية؟,How to check your appliances efficiency?,"إجراء فحص الجهوزية الكهربائية للتعرف على فاعليتها أثناء تجهيز المبنى، حيث يساهم في توفير التكلفة على مالك/مستخدم المبنى قبل إشغال المبنى (قبل السكن).
","Energy commissioning test can help you figure out your appliances’ efficiency during the equipping phase, which will reduce the cost on building owner/user even before building operation phase."
Existing buildings,مباني قائمة,Energy saving-existing buildings,توفير الطاقة-مباني قائمة,كيف يمكن توفير استهلاك الطاقة أثناء تحضير الطعام؟,How to save energy during cooking?,"يمكن توفير استهلاك الطاقة (كهرباء أو غاز أو غيرها) أثناء تحضير الطعام من خلال اتباع الإرشادات التالية:
1. 	استخدام الميكرويف لتسخين وطبخ الطعام عند اللزوم، حيث تحتوي التصاميم الجديدة من الميكروويف إعدادات لطبخ جميع أنواع الطعام وبطريقة أسرع من الفرن الكهربائي التقليدي. استخدام الميكرويف يمكن أن يوفر الطاقة بنسبة 80% مقارنة بالفرن الكهربائي.
2.     الإدارة الصحيحة أثناء الطعام، حيث أن استخدام غطاء الطنجرة أثناء الطهي و/أو التسخين يمكن أن يسرع من العملية وتوفير استهلاك الطاقة بنسبة تصل إلى 30%.
","You can save energy (electricity, gas, etc.) while you’re preparing your food using the following instructions:
Using Microwave to cook and heating your food. New versions of microwave have settings for cooking faster than traditional electrical oven. Using it can save energy up to 80% compared to electrical oven.
Food cooking management, using cooker cover during food preparation or heating can speed up the process and save energy up to 30%.
"
Existing buildings,مباني قائمة,Energy saving-existing buildings,توفير الطاقة-مباني قائمة,هل تعلم أنه يمكنك استغلال مياه الأمطار لتقليل فاتورة المياه في منزلك؟,Did you know that you can use rain water to reduce your water bills?,يمكنك جمع مياه الأمطار وتعقيمها والاستفادة منها بعدة طرق، كاستخدامها في عملية الري والتنظيف المنزلي وتنظيف السيارات، مما ينعكس على توفير في فاتورة المياه للمنزل.,"Rain water (or storm water) harvesting, desalination, and using it for many purposes, like irrigation, home cleaning, car cleaning, etc.) can save your water and reduce your bill."
Existing buildings,مباني قائمة,Energy saving-existing buildings,توفير الطاقة-مباني قائمة,هل تعلم أنه يمكنك استغلال مياه الأمطار لتقليل فاتورة المياه في منزلك؟,Did you know that you can use rain water to reduce your water bills?,يمكنك جمع مياه الأمطار وتعقيمها والاستفادة منها بعدة طرق، كاستخدامها في عملية الري والتنظيف المنزلي وتنظيف السيارات، مما ينعكس على توفير في فاتورة المياه للمنزل.,"Rain water (or storm water) harvesting, desalination, and using it for many purposes, like irrigation, home cleaning, car cleaning, etc.) can save your water and reduce your bill."
Existing buildings,مباني قائمة,Energy saving-existing buildings,توفير الطاقة-مباني قائمة,كيف أتأكد من سلامة استخدام مياه الأمطار للشرب؟,How to assure the safety of rainwater for drinking?,"يمكنك فحص مياه الأمطار في أقرب دائرة صحة من منزلك باتباع إجراءات السلامة التالية:
ضرورة الحصول على علبة معقمة من أقرب صيدلية أو دائرة صحة، توضع عينة المياه فيها مع إحكام إغلاقها وتسليمها خلال فترة لا تزيد عن 30 دقيقة مع ضرورة عدم تعريضها للشمس أو الحرارة. إذا لم تستطع الوصول إلى مركز الصحة خلال 30 دقيقة يمكن حفظ العينة في أدفأ منطقة في  الثلاجة (رفوف باب الثلاجة).
","You can test the rainwater in the nearest health department using the following instructions:
Fill the water in a sanitized bottle (from a pharmacy or health department), close it well, deliver it in less than 30 minutes, and make sure it’s not exposed to sunlight or any heat. If you can’t deliver it in less than 30 minutes make sure to store it in the warmest area of the fridge (the fridge door).
"
Existing buildings,مباني قائمة,Environment-existing buildings,البيئة-مباني قائمة,كيف أتأكد من سلامة استخدام مياه الأمطار للشرب؟,How to assure the safety of rainwater for drinking?,"يمكنك فحص مياه الأمطار في أقرب دائرة صحة من منزلك باتباع إجراءات السلامة التالية:
ضرورة الحصول على علبة معقمة من أقرب صيدلية أو دائرة صحة، توضع عينة المياه فيها مع إحكام إغلاقها وتسليمها خلال فترة لا تزيد عن 30 دقيقة مع ضرورة عدم تعريضها للشمس أو الحرارة. إذا لم تستطع الوصول إلى مركز الصحة خلال 30 دقيقة يمكن حفظ العينة في أدفأ منطقة في  الثلاجة (رفوف باب الثلاجة).
","You can test the rainwater in the nearest health department using the following instructions:
Fill the water in a sanitized bottle (from a pharmacy or health department), close it well, deliver it in less than 30 minutes, and make sure it’s not exposed to sunlight or any heat. If you can’t deliver it in less than 30 minutes make sure to store it in the warmest area of the fridge (the fridge door).
"
Existing buildings,مباني قائمة,Environment-existing buildings,البيئة-مباني قائمة,كيف أتأكد من سلامة استخدام مياه الأمطار للشرب؟,How to assure the safety of rainwater for drinking?,"يمكنك فحص مياه الأمطار في أقرب دائرة صحة من منزلك باتباع إجراءات السلامة التالية:
ضرورة الحصول على علبة معقمة من أقرب صيدلية أو دائرة صحة، توضع عينة المياه فيها مع إحكام إغلاقها وتسليمها خلال فترة لا تزيد عن 30 دقيقة مع ضرورة عدم تعريضها للشمس أو الحرارة. إذا لم تستطع الوصول إلى مركز الصحة خلال 30 دقيقة يمكن حفظ العينة في أدفأ منطقة في  الثلاجة (رفوف باب الثلاجة).
","You can test the rainwater in the nearest health department using the following instructions:
Fill the water in a sanitized bottle (from a pharmacy or health department), close it well, deliver it in less than 30 minutes, and make sure it’s not exposed to sunlight or any heat. If you can’t deliver it in less than 30 minutes make sure to store it in the warmest area of the fridge (the fridge door).
"
Existing buildings,مباني قائمة,Environment-existing buildings,البيئة-مباني قائمة,كيف أتأكد من سلامة استخدام مياه الأمطار للشرب؟,How to assure the safety of rainwater for drinking?,"يمكنك فحص مياه الأمطار في أقرب دائرة صحة من منزلك باتباع إجراءات السلامة التالية:
ضرورة الحصول على علبة معقمة من أقرب صيدلية أو دائرة صحة، توضع عينة المياه فيها مع إحكام إغلاقها وتسليمها خلال فترة لا تزيد عن 30 دقيقة مع ضرورة عدم تعريضها للشمس أو الحرارة. إذا لم تستطع الوصول إلى مركز الصحة خلال 30 دقيقة يمكن حفظ العينة في أدفأ منطقة في  الثلاجة (رفوف باب الثلاجة).
","You can test the rainwater in the nearest health department using the following instructions:
Fill the water in a sanitized bottle (from a pharmacy or health department), close it well, deliver it in less than 30 minutes, and make sure it’s not exposed to sunlight or any heat. If you can’t deliver it in less than 30 minutes make sure to store it in the warmest area of the fridge (the fridge door).
"
Existing buildings,مباني قائمة,Environment-existing buildings,البيئة-مباني قائمة,هل هناك شروط صحية لاستخدام مياه الأمطار؟,What are the health restrictions of using rain wat,نعم، استخدام مياه الأمطار يتطلب استخدام مواد صحية على سطح البناء قبل البدء بتجميع مياه الأمطار، حيث تعتبر بعضها مواد مسرطنة ولا يجب حدوث أي تلامس بينها وبين مياه الأمطار خاصة تلك المستخدمة للشرب.,"Using rain water requires using safe material for the top roof of the buildings before harvesting rainwater, as some of it can cause cancer to users if the water contacts the material, specially drinking water.
"
Existing buildings,مباني قائمة,Environment-existing buildings,البيئة-مباني قائمة,هل هناك شروط صحية لاستخدام مياه الأمطار؟,What are the health restrictions of using rain wat,نعم، استخدام مياه الأمطار يتطلب استخدام مواد صحية على سطح البناء قبل البدء بتجميع مياه الأمطار، حيث تعتبر بعضها مواد مسرطنة ولا يجب حدوث أي تلامس بينها وبين مياه الأمطار خاصة تلك المستخدمة للشرب.,"Using rain water requires using safe material for the top roof of the buildings before harvesting rainwater, as some of it can cause cancer to users if the water contacts the material, specially drinking water.
"
Existing buildings,مباني قائمة,Environment-existing buildings,البيئة-مباني قائمة,هل هناك شروط صحية لاستخدام مياه الأمطار؟,What are the health restrictions of using rain wat,نعم، استخدام مياه الأمطار يتطلب استخدام مواد صحية على سطح البناء قبل البدء بتجميع مياه الأمطار، حيث تعتبر بعضها مواد مسرطنة ولا يجب حدوث أي تلامس بينها وبين مياه الأمطار خاصة تلك المستخدمة للشرب.,"Using rain water requires using safe material for the top roof of the buildings before harvesting rainwater, as some of it can cause cancer to users if the water contacts the material, specially drinking water.
"
Existing buildings,مباني قائمة,Environment-existing buildings,البيئة-مباني قائمة,هل هناك شروط صحية لاستخدام مياه الأمطار؟,What are the health restrictions of using rain wat,نعم، استخدام مياه الأمطار يتطلب استخدام مواد صحية على سطح البناء قبل البدء بتجميع مياه الأمطار، حيث تعتبر بعضها مواد مسرطنة ولا يجب حدوث أي تلامس بينها وبين مياه الأمطار خاصة تلك المستخدمة للشرب.,"Using rain water requires using safe material for the top roof of the buildings before harvesting rainwater, as some of it can cause cancer to users if the water contacts the material, specially drinking water.
"
Existing buildings,مباني قائمة,Environment-existing buildings,البيئة-مباني قائمة,هل أقوم بتجميع مياه الأمطار في المباني القائمة أم المباني قيد الإنشاء؟,Is rainwater harvesting used in existing or under-construction buildings?,يمكن الاستفادة من مياه الأمطار في جميع أنواع المباني، وينصح بعمل نظام تجميع المياه خلال عملية التصميم قبل البدء بإنشاء المبنى. ويمكن أيضاً الاستفادة من مياه الأمطار في المباني القائمة.,"You can use rainwater harvesting in all building types. Rainwater harvesting system installation is recommended during design phase and before the construction phase. In addition, you can harvest rainwater in existing buildings "
Existing buildings,مباني قائمة,Environment-existing buildings,البيئة-مباني قائمة,هل أقوم بتجميع مياه الأمطار في المباني القائمة أم المباني قيد الإنشاء؟,Is rainwater harvesting used in existing or under-construction buildings?,يمكن الاستفادة من مياه الأمطار في جميع أنواع المباني، وينصح بعمل نظام تجميع المياه خلال عملية التصميم قبل البدء بإنشاء المبنى. ويمكن أيضاً الاستفادة من مياه الأمطار في المباني القائمة.,"You can use rainwater harvesting in all building types. Rainwater harvesting system installation is recommended during design phase and before the construction phase. In addition, you can harvest rainwater in existing buildings "
Existing buildings,مباني قائمة,Environment-existing buildings,البيئة-مباني قائمة,"هل أقوم بتجميع مياه الأمطار في المباني القائمة أم المباني قيد الإنشاء؟
",Is rainwater harvesting used in existing or under-construction buildings?,يمكن الاستفادة من مياه الأمطار في جميع أنواع المباني، وينصح بعمل نظام تجميع المياه خلال عملية التصميم قبل البدء بإنشاء المبنى. ويمكن أيضاً الاستفادة من مياه الأمطار في المباني القائمة.,"You can use rainwater harvesting in all building types. Rainwater harvesting system installation is recommended during design phase and before the construction phase. In addition, you can harvest rainwater in existing buildings "
Existing buildings,مباني قائمة,Environment-existing buildings,البيئة-مباني قائمة,"هل أقوم بتجميع مياه الأمطار في المباني القائمة أم المباني قيد الإنشاء؟
",Is rainwater harvesting used in existing or under-construction buildings?,يمكن الاستفادة من مياه الأمطار في جميع أنواع المباني، وينصح بعمل نظام تجميع المياه خلال عملية التصميم قبل البدء بإنشاء المبنى. ويمكن أيضاً الاستفادة من مياه الأمطار في المباني القائمة.,"You can use rainwater harvesting in all building types. Rainwater harvesting system installation is recommended during design phase and before the construction phase. In addition, you can harvest rainwater in existing buildings "
Existing buildings,مباني قائمة,Environment-existing buildings,البيئة-مباني قائمة,كيف يؤثر نوع المرحاض على فاتورة المياه؟,How can the bathroom affect your water bill?,جميع المراحيض المصنعة قبل عام 1992 تستهلك حوالي 13 لتر ماء لكل ضغطة (flush)، لكن التصاميم الحديثة تستهلك ما لا يزيد عن 4 لتر ماء لكل ضغطة. عليك اعتماد الأنواع الجديدة للحصول على توفير يصل إلى 60% وتقليل فاتورة المياه.,"All toilets produced before 1992 consume around 13 liters per flush, but new designs consume less than 4 liters per flush. You have to consider new designs in your bathroom to save water up to 60% and reduce your water bills."
Existing buildings,مباني قائمة,Environment-existing buildings,البيئة-مباني قائمة,كيف يؤثر نوع المرحاض على فاتورة المياه؟,How can the bathroom affect your water bill?,جميع المراحيض المصنعة قبل عام 1992 تستهلك حوالي 13 لتر ماء لكل ضغطة (flush)، لكن التصاميم الحديثة تستهلك ما لا يزيد عن 4 لتر ماء لكل ضغطة. عليك اعتماد الأنواع الجديدة للحصول على توفير يصل إلى 60% وتقليل فاتورة المياه.,"All toilets produced before 1992 consume around 13 liters per flush, but new designs consume less than 4 liters per flush. You have to consider new designs in your bathroom to save water up to 60% and reduce your water bills."
Existing buildings,مباني قائمة,Environment-existing buildings,البيئة-مباني قائمة,هل من الأفضل استخدام مياه باردة أم ساخنة في عملية الغسيل؟,Is it recommended to use hot or cold water for the laundry process?,استخدام المياه الباردة في عملية الغسيل توفر نسبة تصل إلى 80% من الطاقة، يمكنك التحكم بإعدادات الغسالة لدرجة الحرارة.,"water for the laundry process?
Using cold water can save energy up to 80%, you can change washing machine settings to control water temperature. 
"
Existing buildings,مباني قائمة,Environment-existing buildings,البيئة-مباني قائمة,هل من الأفضل استخدام مياه باردة أم ساخنة في عملية الغسيل؟,Is it recommended to use hot or cold water for the laundry process?,استخدام المياه الباردة في عملية الغسيل توفر نسبة تصل إلى 80% من الطاقة، يمكنك التحكم بإعدادات الغسالة لدرجة الحرارة.,"water for the laundry process?
Using cold water can save energy up to 80%, you can change washing machine settings to control water temperature. 
"
Existing buildings,مباني قائمة,Environment-existing buildings,البيئة-مباني قائمة,كيف يمكن توفير المياه أثناء عملية الغسيل؟,How to save water in the laundry process?,بالاعتماد على البرنامج الموفر للبيئة (ECO) والذي غالباً يرافقه شكل ورقة شجر. تستهلك هذه التصاميم أقل من 100 لتر لكل حمولة بينما تستهلك التصاميم القديمة 150 لتر لكل حمولة.,Using new designs of washing machines or using ECO mood (usually marked with green leaf icon). These options consume less than 100 liter per load compared to 150 liter per load in older versions.
Existing buildings,مباني قائمة,Providing water quality-existing buildings,توفير جودة المياه-مباني قائمة,كيف يمكن توفير المياه أثناء عملية الغسيل؟,How to save water in the laundry process?,بالاعتماد على البرنامج الموفر للبيئة (ECO) والذي غالباً يرافقه شكل ورقة شجر. تستهلك هذه التصاميم أقل من 100 لتر لكل حمولة بينما تستهلك التصاميم القديمة 150 لتر لكل حمولة.,Using new designs of washing machines or using ECO mood (usually marked with green leaf icon). These options consume less than 100 liter per load compared to 150 liter per load in older versions.
Existing buildings,مباني قائمة,Providing water quality-existing buildings,توفير جودة المياه-مباني قائمة,كيف يمكنني تقليل فاتورة المياه الخاصة بي؟,How to reduce my water bill?,"1. 	استخدام المغاسل ذات المجسات وذات كفاءة عالية تساعد في تقليل استهلاك المياه بنسبة 20% مما ينعكس على فاتورة المياه.
<br>
2. 	إعادة استخدام المياه العادمة المعالجة في الري المنزلي أو الزراعة أو التنظيف يمكنها المساهمة في تقليل فاتورة المياه. ","
Using smart and high efficient taps can reduce water consumption by 20% which will be reflected on your bills.
<br>
Re-use treated wastewater in irrigation or cleaning can reduce your bills.
"
Existing buildings,مباني قائمة,Providing water quality-existing buildings,توفير جودة المياه-مباني قائمة,كيف يمكنني تقليل فاتورة المياه الخاصة بي؟,How to reduce my water bill?,"1. 	استخدام المغاسل ذات المجسات وذات كفاءة عالية تساعد في تقليل استهلاك المياه بنسبة 20% مما ينعكس على فاتورة المياه.
<br>
2. 	إعادة استخدام المياه العادمة المعالجة في الري المنزلي أو الزراعة أو التنظيف يمكنها المساهمة في تقليل فاتورة المياه. ","
Using smart and high efficient taps can reduce water consumption by 20% which will be reflected on your bills.
<br>
Re-use treated wastewater in irrigation or cleaning can reduce your bills.
"
Existing buildings,مباني قائمة,Providing water quality-existing buildings,توفير جودة المياه-مباني قائمة,كيف يمكن حل مشكلة تجمع مياه الأمطار في الشتاء؟,How to solve water sinks in winter?,تحدث المشكلة أساساً بسبب عدم وجود نظام تصريف صحيح لمياه الأمطار والتي غالباً تنشأ بسبب وجود المباني في الطبيعة. يمكن حلها من خلال تجميع مياه الأمطار عن أسطح المباني وإعادة استخدامها. يمكن تجميعها بشكل مركزي لكل مدينة أو تجميعها في كل مبنى بشكل منفصل.,"This problem occurs because of the poor rainwater drainage system, mainly caused by buildings' existence in nature. This can be solved by rainwater harvesting and reuse. Rainwater harvesting can be central (e.g. in each city) or separately in each building. "
Existing buildings,مباني قائمة,Providing water quality-existing buildings,توفير جودة المياه-مباني قائمة,كيف يمكن حل مشكلة تجمع مياه الأمطار في الشتاء؟,How to solve water sinks in winter?,تحدث المشكلة أساساً بسبب عدم وجود نظام تصريف صحيح لمياه الأمطار والتي غالباً تنشأ بسبب وجود المباني في الطبيعة. يمكن حلها من خلال تجميع مياه الأمطار عن أسطح المباني وإعادة استخدامها. يمكن تجميعها بشكل مركزي لكل مدينة أو تجميعها في كل مبنى بشكل منفصل.,"This problem occurs because of the poor rainwater drainage system, mainly caused by buildings' existence in nature. This can be solved by rainwater harvesting and reuse. Rainwater harvesting can be central (e.g. in each city) or separately in each building. "
Existing buildings,مباني قائمة,Providing water quality-existing buildings,توفير جودة المياه-مباني قائمة,هل تلاحظ تلف الحنفيات أو الأنابيب أو تركيبات المياه الأخرى بسرعة؟,How to solve water sinks in winter?,تحدث المشكلة أساساً بسبب عدم وجود نظام تصريف صحيح لمياه الأمطار والتي غالباً تنشأ بسبب وجود المباني في الطبيعة. يمكن حلها من خلال تجميع مياه الأمطار عن أسطح المباني وإعادة استخدامها. يمكن تجميعها بشكل مركزي لكل مدينة أو تجميعها في كل مبنى بشكل منفصل.,"This problem occurs because of the poor rainwater drainage system, mainly caused by buildings' existence in nature. This can be solved by rainwater harvesting and reuse. Rainwater harvesting can be central (e.g. in each city) or separately in each building. "
Existing buildings,مباني قائمة,Providing water quality-existing buildings,توفير جودة المياه-مباني قائمة,هل تلاحظ تلف الحنفيات أو الأنابيب أو تركيبات المياه الأخرى بسرعة؟," Do you notice the short life span of taps, pipes or other water fixtures?","قد يعود السبب لوجود ضغط ماء عالي في نظام المياه في المبنى بوجود مضخة لزيادة ضغط المياه (خاصة للطوابق العليا في المباني). يمكن حل هذه المشكلة من خلال استخدام صمام يساعد على تخفيف الضغط (لأقل من 550 كيلو باسكال) أو استخدام حنفيات ذات كفاءة مياه عالية (تعمل على تحسين ضغط المياه بدون زيادة التدفق)
","It may refer to the high water pressure on the water system when using water pumps to raise water pressure (specially upper floors). This can be solved by using a de-compression valve (less than 550 KPa) or using high efficient water taps which will enhance water pressure without increasing water flow.
"
Existing buildings,مباني قائمة,Providing water quality-existing buildings,توفير جودة المياه-مباني قائمة,هل تلاحظ تلف الحنفيات أو الأنابيب أو تركيبات المياه الأخرى بسرعة؟," Do you notice the short life span of taps, pipes or other water fixtures?","قد يعود السبب لوجود ضغط ماء عالي في نظام المياه في المبنى بوجود مضخة لزيادة ضغط المياه (خاصة للطوابق العليا في المباني). يمكن حل هذه المشكلة من خلال استخدام صمام يساعد على تخفيف الضغط (لأقل من 550 كيلو باسكال) أو استخدام حنفيات ذات كفاءة مياه عالية (تعمل على تحسين ضغط المياه بدون زيادة التدفق)
","It may refer to the high water pressure on the water system when using water pumps to raise water pressure (specially upper floors). This can be solved by using a de-compression valve (less than 550 KPa) or using high efficient water taps which will enhance water pressure without increasing water flow.
"
Existing buildings,مباني قائمة,Providing water quality-existing buildings,توفير جودة المياه-مباني قائمة,هل من المجدي استخدام سخانات فورية أم سخانات شمسية للمياه؟,Is it feasible to use an instant heater or a solar heater?,"يعتمد على حالة الاستخدام، حيث تعتبر السخانات الفورية أكثر جدوى في مباني العمل (مكاتب مثلاً) التي لا تحتاج لكميات كبيرة من المياه الساخنة، مما يساعد في تقليل الوقت المستهلك لانتظار وصول المياه الساخنة للمستخدم وتقليل إهدار المياه. بينما تعتبر السخانات الشمسية مجدية في المنازل والأماكن التي يكثر بها استخدام المياه الساخنة. 
","It depends on the case of use. Instant heater (electrical) is feasible in working spaces (e.g. offices) where low quantity of water is required, instant heaters need less time and less water to deliver hot water to the user. However, solar heaters are feasible in homes and places where a high quantity of water is required. "
Existing buildings,مباني قائمة,Providing water quality-existing buildings,توفير جودة المياه-مباني قائمة,هل من المجدي استخدام سخانات فورية أم سخانات شمسية للمياه؟,Is it feasible to use an instant heater or a solar heater?,"يعتمد على حالة الاستخدام، حيث تعتبر السخانات الفورية أكثر جدوى في مباني العمل (مكاتب مثلاً) التي لا تحتاج لكميات كبيرة من المياه الساخنة، مما يساعد في تقليل الوقت المستهلك لانتظار وصول المياه الساخنة للمستخدم وتقليل إهدار المياه. بينما تعتبر السخانات الشمسية مجدية في المنازل والأماكن التي يكثر بها استخدام المياه الساخنة. 
","It depends on the case of use. Instant heater (electrical) is feasible in working spaces (e.g. offices) where low quantity of water is required, instant heaters need less time and less water to deliver hot water to the user. However, solar heaters are feasible in homes and places where a high quantity of water is required. "
